pubchem_cid,gene_id,label
3559,1813,1
3559,3358,1
3559,148,1
3559,3351,1
3559,1815,1
3559,6532,1
3559,3269,1
3559,6863,1
3559,3363,1
3559,3357,1
3559,10280,1
3559,3352,1
3559,3005,1
3559,3757,1
3559,1814,1
3559,3356,1
3559,1812,1
3559,1816,1
3559,10682,1
3559,27346,1
3559,1131,1
3559,6571,1
3559,150,1
3559,3350,1
3559,152,1
3559,151,1
3559,3362,1
3559,2847,1
2159,1813,1
6005,1813,1
2726,1813,1
3151,1813,1
681,1813,1
47811,1813,1
16362,1813,1
62867,1813,1
4917,1813,1
54477,1813,1
5355,1813,1
9429,1813,1
31101,1813,1
3033769,1813,1
3372,1813,1
3964,1813,1
4078,1813,1
23897,1813,1
4748,1813,1
4926,1813,1
5452,1813,1
941651,1813,1
5566,1813,1
5568,1813,1
5073,1813,1
3696,1813,1
4449,1813,1
15387,1813,1
5002,1813,1
115237,1813,1
3396,1813,1
4830,1813,1
60149,1813,1
60854,1813,1
5736,1813,1
71360,1813,1
2170,1813,1
3168,1813,1
5074,1813,1
213046,1813,1
2801,1813,1
2913,1813,1
3455,1813,1
4168,1813,1
5770,1813,1
8969,1813,1
6604889,1813,1
4850,1813,1
5095,1813,1
60795,1813,1
71351,1813,1
5467,1813,1
208951,1813,1
11154555,1813,1
2477,1813,1
119570,1813,1
59227,1813,1
16058752,1813,1
28864,1813,1
9818479,1813,1
3822,1813,1
129211,1813,1
52919,1813,1
125564,1813,1
5816,1813,1
9690109,1813,1
135398737,1813,1
27400,1813,1
135398745,1813,1
11978813,1813,1
21302490,1813,1
4011,1813,1
667467,1813,1
2160,1813,1
4927,1813,1
6918314,1813,1
5417,1813,1
3658,1813,1
6918388,1813,1
3007,1813,1
54746,1813,1
5440,1813,1
4543,1813,1
1547484,1813,1
8223,1813,1
43815,1813,1
5584,1813,1
4940,1813,1
4199,1813,1
5281881,1813,1
18104,1813,1
17676,1813,1
2995,1813,1
146570,1813,1
3821,1813,1
6047,1813,1
72287,1813,1
135413504,1813,1
6077,1813,1
5311507,1813,1
2196,1813,1
6018,1813,1
9554198,1813,1
47953,1813,1
3792,1813,1
10071196,1813,1
11658655,1813,1
4184,1813,1
3036780,1813,1
115368,1813,1
2446,1813,1
3086401,1813,1
40589,1813,1
10993014,1813,1
114948,1813,1
6918525,1813,1
49831411,1813,1
65667,1813,1
107715,1813,1
2342,1813,1
3388,1813,1
3389,1813,1
446220,6531,1
3007,6531,1
444,6531,1
681,6531,1
3455,6531,1
4020,6531,1
4528,6531,1
114743,6531,1
4011,6531,1
4449,6531,1
43815,6531,1
60835,6531,1
4500,6531,1
11658655,6531,1
5324346,6531,1
4158,6531,1
4236,6531,1
9690109,6531,1
6918446,6531,1
154101,6531,1
68617,6531,1
1615,6531,1
5826,6531,1
47953,6531,1
4771,6531,1
1201549,6531,1
5656,6531,1
3964,6531,1
3696,6531,1
2170,6531,1
4914,6531,1
5584,6531,1
4762,6531,1
7028,6531,1
5311017,6531,1
7029,6531,1
5210,6531,1
2725,6531,1
3103,6531,1
8612,6531,1
146570,6531,1
60795,6531,1
26175,6531,1
14584,6531,1
31721,6531,1
10836,6531,1
6440180,6531,1
4184,6531,1
11370864,6531,1
9917968,6531,1
125017,6531,1
9947999,6531,1
10130337,6531,1
11597698,6531,1
30487,6531,1
446220,6532,1
3386,6532,1
60835,6532,1
3396,6532,1
3696,6532,1
4830,6532,1
5002,6532,1
5073,6532,1
60149,6532,1
60854,6532,1
5736,6532,1
2160,6532,1
2801,6532,1
2771,6532,1
2995,6532,1
114743,6532,1
5324346,6532,1
1355,6532,1
4449,6532,1
4543,6532,1
125017,6532,1
43815,6532,1
5533,6532,1
5656,6532,1
2170,6532,1
40589,6532,1
4976,6532,1
5584,6532,1
5365247,6532,1
8969,6532,1
60795,6532,1
3455,6532,1
4500,6532,1
127151,6532,1
11658655,6532,1
146570,6532,1
4020,6532,1
9966051,6532,1
1615,6532,1
6918446,6532,1
68617,6532,1
2726,6532,1
6917779,6532,1
4528,6532,1
21302490,6532,1
47953,6532,1
6918314,6532,1
3007,6532,1
4771,6532,1
1201549,6532,1
3964,6532,1
3337,6532,1
2520,6532,1
4199,6532,1
7028,6532,1
2895,6532,1
5210,6532,1
2725,6532,1
667477,6532,1
66265,6532,1
26175,6532,1
10836,6532,1
34870,6532,1
9892540,6532,1
4184,6532,1
11370864,6532,1
9838022,6532,1
154101,6532,1
5202,6532,1
5284550,6532,1
3045380,6532,1
9947999,6532,1
2554,6532,1
10007,6532,1
446220,6530,1
4500,6530,1
4011,6530,1
2995,6530,1
2160,6530,1
114743,6530,1
3386,6530,1
3696,6530,1
4020,6530,1
4449,6530,1
4543,6530,1
43815,6530,1
2170,6530,1
2801,6530,1
4528,6530,1
4976,6530,1
5666,6530,1
681,6530,1
2803,6530,1
60835,6530,1
3007,6530,1
125017,6530,1
3455,6530,1
127151,6530,1
11658655,6530,1
2913,6530,1
4158,6530,1
5656,6530,1
444,6530,1
6918446,6530,1
68617,6530,1
1615,6530,1
5826,6530,1
6917779,6530,1
47953,6530,1
4771,6530,1
38521,6530,1
1201549,6530,1
3964,6530,1
5584,6530,1
4762,6530,1
7028,6530,1
2895,6530,1
7029,6530,1
5210,6530,1
2725,6530,1
667477,6530,1
3518,6530,1
4601,6530,1
146570,6530,1
3821,6530,1
9294,6530,1
26175,6530,1
10836,6530,1
30487,6530,1
34870,6530,1
2966,6530,1
6918194,6530,1
4184,6530,1
11370864,6530,1
9838022,6530,1
9917968,6530,1
154101,6530,1
9966051,6530,1
5284550,6530,1
5736,6530,1
9947999,6530,1
10130337,6530,1
5311017,6530,1
2368,6530,1
2431,6530,1
11597698,6530,1
26934,6530,1
774,59340,1
774,11255,1
774,3269,1
774,3274,1
774,6571,1
2160,59340,1
2726,59340,1
1547484,59340,1
2913,59340,1
4927,59340,1
135398737,59340,1
3964,59340,1
4992,59340,1
2170,59340,1
667477,59340,1
60795,59340,1
4761,59340,1
4184,59340,1
9948102,11255,1
2267,11255,1
135398737,11255,1
896,11255,1
5281071,11255,1
60795,11255,1
2366,11255,1
3779,154,1
2783,154,1
56052,154,1
2083,154,1
2119,154,1
4883,154,1
4946,154,1
3396,154,1
9963057,154,1
31101,154,1
60795,154,1
2585,154,1
3343,154,1
4828,154,1
5152,154,1
6918554,154,1
3083544,154,1
3410,154,1
5761,154,1
9966051,154,1
5816,154,1
6918446,154,1
2405,154,1
60657,154,1
1978,154,1
4171,154,1
3869,154,1
5253,154,1
2475,154,1
39147,154,1
123600,154,1
10184665,154,1
11504295,154,1
444031,154,1
4086,154,1
155774,154,1
3762,154,1
2249,154,1
33624,154,1
1103,154,1
2369,154,1
54746,154,1
26934,154,1
3105,154,1
2583,154,1
36811,154,1
7028,154,1
33572,154,1
5403,154,1
35330,154,1
4768,154,1
60789,154,1
2995,154,1
4932,154,1
39468,154,1
31477,154,1
4845,154,1
2372,154,1
37464,154,1
9294,154,1
4916,154,1
54766,154,1
4631,154,1
1045,154,1
1102,154,1
2663,154,1
71301,154,1
3036780,154,1
92974,154,1
4969,154,1
13023332,154,1
44112,154,1
2309,154,1
2239,154,1
50942,154,1
10734,154,1
5606,154,1
3007,154,1
2368,154,1
135398745,154,1
4543,154,1
43815,154,1
5584,154,1
2157,154,1
3677,154,1
71733,154,1
168871,154,1
64782,154,1
107715,154,1
59768,154,1
3651,154,1
3396,4987,1
3396,153,1
3396,1815,1
3396,3269,1
3396,6863,1
3396,3357,1
3396,3356,1
3396,786,1
2783,153,1
2783,7124,1
2783,155,1
2783,4803,1
56052,2099,1
2083,153,1
2083,155,1
3386,3358,1
3386,1131,1
3386,1557,1
3386,3757,1
3386,150,1
3386,3356,1
3386,1135,1
3386,1163,1
4011,3269,1
4011,1812,1
4011,1816,1
4011,1814,1
4011,1131,1
4011,1128,1
4011,1133,1
4011,1132,1
4011,3356,1
4011,3358,1
4011,1129,1
4011,3363,1
4011,148,1
4011,147,1
4011,146,1
4011,150,1
4011,151,1
4011,152,1
2995,3269,1
2995,3358,1
2995,148,1
2995,1131,1
2995,1133,1
2995,1128,1
2995,153,1
2995,3350,1
2995,1132,1
2995,3356,1
2995,1129,1
2995,6609,1
2995,147,1
2995,146,1
2995,150,1
2995,151,1
2995,152,1
2119,155,1
2119,153,1
2119,3350,1
4883,153,1
4946,3351,1
4946,153,1
4946,155,1
4946,3350,1
5202,3351,1
5202,3354,1
5202,3352,1
5202,3357,1
5202,3355,1
5202,3363,1
5202,3362,1
5202,3358,1
5202,3359,1
5202,3350,1
5202,3356,1
5202,3360,1
5202,3361,1
5202,6571,1
5202,9177,1
1355,3351,1
4636,3351,1
5358,3351,1
8969,3351,1
9681,3351,1
115237,3351,1
5073,3351,1
1832,3351,1
28693,3351,1
4830,3351,1
60149,3351,1
60854,3351,1
5736,3351,1
4440,3351,1
5074,3351,1
6604889,3351,1
31101,3351,1
47811,3351,1
60795,3351,1
5709,3351,1
60857,3351,1
77992,3351,1
5078,3351,1
9966051,3351,1
8223,3351,1
135398745,3351,1
135398737,3351,1
77993,3351,1
54746,3351,1
10531,3351,1
2160,3351,1
3964,3351,1
2170,3351,1
28864,3351,1
6005,3351,1
4595,3351,1
123606,3351,1
4828,3351,1
5002,3351,1
37464,3351,1
71353,3351,1
27400,3351,1
3036780,3351,1
44112,3351,1
49831411,3351,1
43815,3351,1
667467,3351,1
5205,3351,1
168871,3351,1
5467,3351,1
107715,3351,1
3821,3351,1
1355,3352,1
1355,3358,1
1355,3357,1
1355,148,1
1355,3359,1
1355,3356,1
4636,3354,1
4636,148,1
4636,3357,1
4636,3358,1
4636,3352,1
4636,150,1
4636,11188,1
4636,152,1
4636,151,1
4636,147,1
4636,146,1
5358,3352,1
5358,3355,1
5358,3363,1
5358,3359,1
5358,3358,1
5358,3350,1
8969,3352,1
8969,3357,1
8969,3355,1
8969,148,1
8969,3358,1
8969,146,1
8969,1565,1
8969,150,1
8969,151,1
8969,152,1
8969,147,1
8969,3350,1
8969,3356,1
8969,1814,1
8969,3758,1
8969,3766,1
8969,3767,1
8969,3768,1
8969,3770,1
8969,3772,1
8969,3764,1
2381,1131,1
2381,1133,1
2381,1132,1
2381,1129,1
2381,1128,1
2726,1131,1
3100,1131,1
3964,1131,1
4078,1131,1
4848,1131,1
4919,1131,1
5452,1131,1
5572,1131,1
5736,1131,1
24199,1131,1
2160,1131,1
2913,1131,1
3696,1131,1
4543,1131,1
4601,1131,1
43815,1131,1
5002,1131,1
444031,1131,1
4057,1131,1
174174,1131,1
4634,1131,1
11519070,1131,1
657309,1131,1
11434515,1131,1
5487427,1131,1
2230,1131,1
187,1131,1
135398745,1131,1
443879,1131,1
5831,1131,1
26987,1131,1
3494,1131,1
154059,1131,1
2370,1131,1
1201549,1131,1
11693,1131,1
135398737,1131,1
11753673,1131,1
5314,1131,1
5284632,1131,1
60854,1131,1
3114,1131,1
5405,1131,1
4642,1131,1
154417,1131,1
23724781,1131,1
20299,1131,1
657201,1131,1
4474,1131,1
10429215,1131,1
3000322,1131,1
2342,1131,1
5593,1131,1
6834,1131,1
4097,1131,1
4927,1131,1
5910,1131,1
667477,1131,1
5281042,1131,1
3055,1131,1
60795,1131,1
667467,1131,1
441289,1131,1
50192,1131,1
72287,1131,1
3775,1131,1
27400,1131,1
6918558,1131,1
1993,1131,1
5573,1131,1
5284550,1131,1
6433090,1131,1
160883,1131,1
5282593,1131,1
5457,1131,1
4942,1131,1
24892842,1131,1
6127,1131,1
49831411,1131,1
4167,1131,1
3162,1131,1
2170,1131,1
1547484,1131,1
5584,1131,1
